Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths,WeekNum,Month,Last7Days,Last14Days,Last30Days,CasesPM,DeathsPM,MyCountries,GrowthPerDay,PercentChange,DeathPerDay,DeathPerChange
2020-03-09,Afghanistan,,33.0,65.0,4,0,0,11,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-10,Afghanistan,,33.0,65.0,5,0,0,11,3,False,False,False,0,0,False,1,0.0,0,0.0
2020-03-11,Afghanistan,,33.0,65.0,7,0,0,11,3,False,False,False,0,0,False,2,0.0,0,0.0
2020-03-12,Afghanistan,,33.0,65.0,7,0,0,11,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-13,Afghanistan,,33.0,65.0,7,0,0,11,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-14,Afghanistan,,33.0,65.0,11,0,0,11,3,False,False,False,0,0,False,4,0.0,0,0.0
2020-03-15,Afghanistan,,33.0,65.0,16,0,0,11,3,False,False,False,0,0,False,5,0.0,0,0.0
2020-03-16,Afghanistan,,33.0,65.0,21,1,0,12,3,False,False,False,0,0,False,5,0.0,0,0.0
2020-03-17,Afghanistan,,33.0,65.0,22,1,0,12,3,False,False,False,0,0,False,1,0.0,0,0.0
2020-03-18,Afghanistan,,33.0,65.0,22,1,0,12,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-19,Afghanistan,,33.0,65.0,22,1,0,12,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-20,Afghanistan,,33.0,65.0,24,1,0,12,3,False,False,False,0,0,False,2,0.0,0,0.0
2020-03-21,Afghanistan,,33.0,65.0,24,1,0,12,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-22,Afghanistan,,33.0,65.0,40,1,1,12,3,False,False,False,0,0,False,16,0.0,1,0.0
2020-03-23,Afghanistan,,33.0,65.0,40,1,1,13,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-24,Afghanistan,,33.0,65.0,74,1,1,13,3,False,False,False,0,0,False,34,0.0,0,0.0
2020-03-25,Afghanistan,,33.0,65.0,84,2,2,13,3,False,False,False,0,0,False,10,0.0,1,0.0
2020-03-26,Afghanistan,,33.0,65.0,94,2,4,13,3,False,False,False,0,0,False,10,0.0,2,0.0
2020-03-27,Afghanistan,,33.0,65.0,110,2,4,13,3,False,False,False,0,0,False,16,0.0,0,0.0
2020-03-28,Afghanistan,,33.0,65.0,110,2,4,13,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-29,Afghanistan,,33.0,65.0,120,2,4,13,3,False,False,False,0,0,False,10,0.0,0,0.0
2020-03-30,Afghanistan,,33.0,65.0,170,2,4,14,3,False,False,False,0,0,False,50,0.0,0,0.0
2020-03-31,Afghanistan,,33.0,65.0,174,5,4,14,3,False,False,False,0,0,False,4,0.0,0,0.0
2020-04-01,Afghanistan,,33.0,65.0,237,5,4,14,4,False,False,False,0,0,False,63,0.0,0,0.0
2020-04-02,Afghanistan,,33.0,65.0,273,10,6,14,4,False,False,False,0,0,False,36,0.0,2,0.0
2020-04-03,Afghanistan,,33.0,65.0,281,10,6,14,4,False,False,False,0,0,False,8,0.0,0,0.0
2020-04-04,Afghanistan,,33.0,65.0,299,10,7,14,4,False,False,True,0,0,False,18,0.0,1,0.0
2020-04-05,Afghanistan,,33.0,65.0,349,15,7,14,4,False,False,True,0,0,False,50,0.0,0,0.0
2020-04-06,Afghanistan,,33.0,65.0,367,18,11,15,4,False,False,True,0,0,False,18,0.0,4,0.0
2020-04-07,Afghanistan,,33.0,65.0,423,18,14,15,4,False,False,True,0,0,False,56,0.0,3,0.0
2020-04-08,Afghanistan,,33.0,65.0,444,29,14,15,4,False,False,True,0,0,False,21,0.0,0,0.0
2020-04-09,Afghanistan,,33.0,65.0,484,32,15,15,4,False,False,True,0,0,False,40,0.0,1,0.0
2020-04-10,Afghanistan,,33.0,65.0,521,32,15,15,4,False,False,True,0,0,False,37,0.0,0,0.0
2020-04-11,Afghanistan,,33.0,65.0,555,32,18,15,4,False,False,True,0,0,False,34,0.0,3,0.0
